date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:54	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Dec%202019%2017:05:54%20GMT	http://light.pinsupreme.com/robots.txt		(from )
17:05:55	62677/62677	---MCZ	200	added ('OK')	text/html	etag:W/%225cf0a9aa-f4d5%22	http://light.pinsupreme.com/	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/index.html	(from )
17:05:55	1614/1614	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-64e%22	http://light.pinsupreme.com/favicon.png	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/favicon.png	(from http://light.pinsupreme.com/)
17:05:55	1614/1614	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-64e%22	http://light.pinsupreme.com/apple-touch-icon.png	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/apple-touch-icon.png	(from http://light.pinsupreme.com/)
17:05:56	7861/7861	---M-Z	200	added ('OK')	text/css	etag:%222403583283%22	http://fast.fonts.net/cssapi/487b73f1-c2d1-43db-8526-db577e4c822b.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/fast.fonts.net/cssapi/487b73f1-c2d1-43db-8526-db577e4c822b.css	(from http://light.pinsupreme.com/)
17:05:56	15196/15196	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-3b5c%22	http://light.pinsupreme.com/bower_components/select2/dist/css/select2.min.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/select2/dist/css/select2.min.css	(from http://light.pinsupreme.com/)
17:05:57	8163/8163	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-1fe3%22	http://light.pinsupreme.com/bower_components/bootstrap-daterangepicker/daterangepicker.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/bootstrap-daterangepicker/daterangepicker.css	(from http://light.pinsupreme.com/)
17:05:57	12587/12587	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-312b%22	http://light.pinsupreme.com/bower_components/dropzone/dist/dropzone.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/dropzone/dist/dropzone.css	(from http://light.pinsupreme.com/)
17:05:57	4188/4188	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-105c%22	http://light.pinsupreme.com/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css	(from http://light.pinsupreme.com/)
17:05:58	15686/15686	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-3d46%22	http://light.pinsupreme.com/bower_components/fullcalendar/dist/fullcalendar.min.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/fullcalendar/dist/fullcalendar.min.css	(from http://light.pinsupreme.com/)
17:05:58	4412/4412	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-113c%22	http://light.pinsupreme.com/bower_components/perfect-scrollbar/css/perfect-scrollbar.min.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/perfect-scrollbar/css/perfect-scrollbar.min.css	(from http://light.pinsupreme.com/)
17:05:58	1776/1776	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-6f0%22	http://light.pinsupreme.com/bower_components/slick-carousel/slick/slick.css	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/bower_components/slick-carousel/slick/slick.css	(from http://light.pinsupreme.com/)
17:06:04	689631/689631	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-a85df%22	http://light.pinsupreme.com/css/main.css?version=4.4.1	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/css/maince5a.css	(from http://light.pinsupreme.com/)
17:06:05	6521/6521	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-1979%22	http://light.pinsupreme.com/img/bigicon6.png	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/img/bigicon6.png	(from http://light.pinsupreme.com/)
